gestion,departamento,tipo,cantidad
2013,BENI,SOCIEDAD ANONIMA,29
2013,BENI,SOCIEDAD COLECTIVA,1
2013,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,563
2013,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2013,CHUQUISACA,EMPRESA UNIPERSONAL,8139
2013,CHUQUISACA,SOCIEDAD ANONIMA,27
2013,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2013,CHUQUISACA,SOCIEDAD COLECTIVA,2
2013,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,923
2013,COCHABAMBA,EMPRESA UNIPERSONAL,32881
2013,COCHABAMBA,SOCIEDAD ANONIMA,310
2013,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2013,COCHABAMBA,SOCIEDAD COLECTIVA,21
2013,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,5778
2013,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2013,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,16
2013,LA PAZ,EMPRESA UNIPERSONAL,49133
2013,LA PAZ,SOCIEDAD ANONIMA,1380
2013,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2013,LA PAZ,SOCIEDAD COLECTIVA,51
2013,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,16873
2013,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2013,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,12
2013,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,277
2013,ORURO,EMPRESA UNIPERSONAL,10265
2013,ORURO,SOCIEDAD ANONIMA,44
2013,ORURO,SOCIEDAD COLECTIVA,7
2013,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1658
2013,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2013,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2013,PANDO,EMPRESA UNIPERSONAL,2130
2013,PANDO,SOCIEDAD ANONIMA,9
2013,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,200
2013,POTOSI,EMPRESA UNIPERSONAL,7372
2013,POTOSI,SOCIEDAD ANONIMA,35
2013,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2013,POTOSI,SOCIEDAD COLECTIVA,8
2013,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1569
2013,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2013,SANTA CRUZ,EMPRESA UNIPERSONAL,45692
2013,SANTA CRUZ,SOCIEDAD ANONIMA,1183
2013,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2013,SANTA CRUZ,SOCIEDAD COLECTIVA,14
2013,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,13196
2013,SANTA CRUZ,SOCIEDAD EN COMANDITA POR ACCIONES,1
2013,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,5
2013,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,171
2013,TARIJA,EMPRESA UNIPERSONAL,9711
2013,TARIJA,SOCIEDAD ANONIMA,47
2013,TARIJA,SOCIEDAD COLECTIVA,2
2013,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1749
2013,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2014,BENI,EMPRESA UNIPERSONAL,6866
2014,BENI,SOCIEDAD ANONIMA,29
2014,BENI,SOCIEDAD COLECTIVA,1
2014,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,588
2014,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2014,CHUQUISACA,EMPRESA UNIPERSONAL,10021
2014,CHUQUISACA,SOCIEDAD ANONIMA,27
2014,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2014,CHUQUISACA,SOCIEDAD COLECTIVA,2
2014,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1010
2014,COCHABAMBA,EMPRESA UNIPERSONAL,39413
2014,COCHABAMBA,SOCIEDAD ANONIMA,317
2014,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2014,COCHABAMBA,SOCIEDAD COLECTIVA,21
2014,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,6221
2014,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2014,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,17
2014,LA PAZ,EMPRESA UNIPERSONAL,60456
2014,LA PAZ,SOCIEDAD ANONIMA,1410
2014,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2014,LA PAZ,SOCIEDAD COLECTIVA,51
2014,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,18025
2014,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2014,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,12
2014,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,305
2014,ORURO,EMPRESA UNIPERSONAL,12201
2014,ORURO,SOCIEDAD ANONIMA,44
2014,ORURO,SOCIEDAD COLECTIVA,7
2014,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1753
2014,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2014,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,2
2014,PANDO,EMPRESA UNIPERSONAL,2581
2014,PANDO,SOCIEDAD ANONIMA,9
2014,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,224
2014,POTOSI,EMPRESA UNIPERSONAL,9213
2014,POTOSI,SOCIEDAD ANONIMA,39
2014,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2014,POTOSI,SOCIEDAD COLECTIVA,10
2014,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1712
2014,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2014,SANTA CRUZ,EMPRESA UNIPERSONAL,54862
2014,SANTA CRUZ,SOCIEDAD ANONIMA,1236
2014,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2014,SANTA CRUZ,SOCIEDAD COLECTIVA,15
2014,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,14577
2014,SANTA CRUZ,SOCIEDAD EN COMANDITA POR ACCIONES,1
2014,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,5
2014,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,187
2014,TARIJA,EMPRESA UNIPERSONAL,12133
2014,TARIJA,SOCIEDAD ANONIMA,47
2014,TARIJA,SOCIEDAD COLECTIVA,2
2014,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1883
2014,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2014,TARIJA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,3
2015,BENI,EMPRESA UNIPERSONAL,7493
2015,BENI,ENTIDAD FINANCIERA DE VIVIENDA,1
2015,BENI,SOCIEDAD ANONIMA,31
2015,BENI,SOCIEDAD ANONIMA MIXTA,1
2015,BENI,SOCIEDAD COLECTIVA,1
2015,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,626
2015,BENI,SOCIEDAD EN COMANDITA SIMPLE,2
2015,CHUQUISACA,EMPRESA UNIPERSONAL,10490
2015,CHUQUISACA,ENTIDAD FINANCIERA DE VIVIENDA,1
2015,CHUQUISACA,SOCIEDAD ANONIMA,27
2015,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2015,CHUQUISACA,SOCIEDAD COLECTIVA,2
2015,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1127
2015,COCHABAMBA,EMPRESA UNIPERSONAL,41165
2015,COCHABAMBA,ENTIDAD FINANCIERA DE VIVIENDA,1
2015,COCHABAMBA,SOCIEDAD ANONIMA,321
2015,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2015,COCHABAMBA,SOCIEDAD COLECTIVA,21
2015,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,6730
2015,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2015,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,26
2015,LA PAZ,EMPRESA UNIPERSONAL,63665
2015,LA PAZ,ENTIDAD FINANCIERA DE VIVIENDA,2
2015,LA PAZ,SOCIEDAD ANONIMA,1429
2015,LA PAZ,SOCIEDAD ANONIMA MIXTA,3
2015,LA PAZ,SOCIEDAD COLECTIVA,51
2015,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,19206
2015,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2015,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,12
2015,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,337
2015,ORURO,EMPRESA UNIPERSONAL,12379
2015,ORURO,SOCIEDAD ANONIMA,46
2015,ORURO,SOCIEDAD COLECTIVA,7
2015,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1855
2015,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2015,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,2
2015,PANDO,EMPRESA UNIPERSONAL,2836
2015,PANDO,ENTIDAD FINANCIERA DE VIVIENDA,1
2015,PANDO,SOCIEDAD ANONIMA,9
2015,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,256
2015,POTOSI,EMPRESA UNIPERSONAL,9724
2015,POTOSI,SOCIEDAD ANONIMA,40
2015,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2015,POTOSI,SOCIEDAD COLECTIVA,10
2015,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1857
2015,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2015,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2015,SANTA CRUZ,EMPRESA UNIPERSONAL,58234
2015,SANTA CRUZ,SOCIEDAD ANONIMA,1308
2015,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2015,SANTA CRUZ,SOCIEDAD COLECTIVA,15
2015,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,16010
2015,SANTA CRUZ,SOCIEDAD EN COMANDITA POR ACCIONES,1
2015,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,4
2015,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,204
2015,TARIJA,EMPRESA UNIPERSONAL,12600
2015,TARIJA,SOCIEDAD ANONIMA,46
2015,TARIJA,SOCIEDAD COLECTIVA,2
2015,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2005
2015,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2015,TARIJA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,5
2016,BENI,EMPRESA UNIPERSONAL,8027
2016,BENI,ENTIDAD FINANCIERA DE VIVIENDA,1
2016,BENI,SOCIEDAD ANONIMA,31
2016,BENI,SOCIEDAD ANONIMA MIXTA,1
2016,BENI,SOCIEDAD COLECTIVA,1
2016,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,669
2016,BENI,SOCIEDAD EN COMANDITA SIMPLE,2
2016,CHUQUISACA,EMPRESA UNIPERSONAL,10833
2016,CHUQUISACA,ENTIDAD FINANCIERA DE VIVIENDA,1
2016,CHUQUISACA,SOCIEDAD ANONIMA,27
2016,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2016,CHUQUISACA,SOCIEDAD COLECTIVA,2
2016,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1187
2016,CHUQUISACA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2016,COCHABAMBA,EMPRESA UNIPERSONAL,41949
2016,COCHABAMBA,ENTIDAD FINANCIERA DE VIVIENDA,1
2016,COCHABAMBA,SOCIEDAD ANONIMA,322
2016,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2016,COCHABAMBA,SOCIEDAD COLECTIVA,21
2016,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,7175
2016,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2016,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,35
2016,LA PAZ,EMPRESA UNIPERSONAL,66240
2016,LA PAZ,ENTIDAD FINANCIERA DE VIVIENDA,2
2016,LA PAZ,SOCIEDAD ANONIMA,1441
2016,LA PAZ,SOCIEDAD ANONIMA MIXTA,3
2016,LA PAZ,SOCIEDAD COLECTIVA,52
2016,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,20270
2016,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2016,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,12
2016,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,400
2016,ORURO,EMPRESA UNIPERSONAL,12484
2016,ORURO,ENTIDAD FINANCIERA DE VIVIENDA,1
2016,ORURO,SOCIEDAD ANONIMA,46
2016,ORURO,SOCIEDAD COLECTIVA,7
2016,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1927
2016,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2016,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,2
2016,PANDO,EMPRESA UNIPERSONAL,2945
2016,PANDO,ENTIDAD FINANCIERA DE VIVIENDA,1
2016,PANDO,SOCIEDAD ANONIMA,9
2016,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,270
2016,POTOSI,EMPRESA UNIPERSONAL,10109
2016,POTOSI,ENTIDAD FINANCIERA DE VIVIENDA,1
2016,POTOSI,SOCIEDAD ANONIMA,41
2016,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2016,POTOSI,SOCIEDAD COLECTIVA,10
2016,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1967
2016,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2016,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2016,SANTA CRUZ,EMPRESA UNIPERSONAL,61514
2016,SANTA CRUZ,SOCIEDAD ANONIMA,1390
2016,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2016,SANTA CRUZ,SOCIEDAD COLECTIVA,15
2016,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,17473
2016,SANTA CRUZ,SOCIEDAD EN COMANDITA POR ACCIONES,1
2016,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,6
2016,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,223
2016,TARIJA,EMPRESA UNIPERSONAL,12936
2016,TARIJA,SOCIEDAD ANONIMA,46
2016,TARIJA,SOCIEDAD COLECTIVA,2
2016,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2110
2016,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2016,TARIJA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,7
2017,BENI,EMPRESA UNIPERSONAL,8465
2017,BENI,ENTIDAD FINANCIERA DE VIVIENDA,1
2017,BENI,SOCIEDAD ANONIMA,31
2017,BENI,SOCIEDAD ANONIMA MIXTA,1
2017,BENI,SOCIEDAD COLECTIVA,1
2017,BENI,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2017,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,707
2017,BENI,SOCIEDAD EN COMANDITA SIMPLE,2
2017,CHUQUISACA,EMPRESA UNIPERSONAL,10990
2017,CHUQUISACA,SOCIEDAD ANONIMA,28
2017,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2017,CHUQUISACA,SOCIEDAD COLECTIVA,2
2017,CHUQUISACA,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2017,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1240
2017,COCHABAMBA,EMPRESA UNIPERSONAL,42793
2017,COCHABAMBA,ENTIDAD FINANCIERA DE VIVIENDA,1
2017,COCHABAMBA,SOCIEDAD ANONIMA,325
2017,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2017,COCHABAMBA,SOCIEDAD COLECTIVA,22
2017,COCHABAMBA,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,45
2017,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,7584
2017,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2017,LA PAZ,EMPRESA UNIPERSONAL,67774
2017,LA PAZ,ENTIDAD FINANCIERA DE VIVIENDA,2
2017,LA PAZ,SOCIEDAD ANONIMA,1440
2017,LA PAZ,SOCIEDAD ANONIMA MIXTA,3
2017,LA PAZ,SOCIEDAD COLECTIVA,52
2017,LA PAZ,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,430
2017,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,21164
2017,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2017,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,12
2017,ORURO,EMPRESA UNIPERSONAL,12519
2017,ORURO,ENTIDAD FINANCIERA DE VIVIENDA,1
2017,ORURO,SOCIEDAD ANONIMA,45
2017,ORURO,SOCIEDAD COLECTIVA,7
2017,ORURO,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,2
2017,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1993
2017,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2017,PANDO,EMPRESA UNIPERSONAL,3082
2017,PANDO,ENTIDAD FINANCIERA DE VIVIENDA,1
2017,PANDO,SOCIEDAD ANONIMA,10
2017,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,287
2017,POTOSI,EMPRESA UNIPERSONAL,10430
2017,POTOSI,ENTIDAD FINANCIERA DE VIVIENDA,1
2017,POTOSI,SOCIEDAD ANONIMA,43
2017,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2017,POTOSI,SOCIEDAD COLECTIVA,11
2017,POTOSI,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2017,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2104
2017,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2017,SANTA CRUZ,EMPRESA UNIPERSONAL,63339
2017,SANTA CRUZ,SOCIEDAD ANONIMA,1424
2017,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2017,SANTA CRUZ,SOCIEDAD COLECTIVA,15
2017,SANTA CRUZ,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,245
2017,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,18626
2017,SANTA CRUZ,SOCIEDAD EN COMANDITA POR ACCIONES,1
2017,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,5
2017,TARIJA,EMPRESA UNIPERSONAL,12916
2017,TARIJA,SOCIEDAD ANONIMA,48
2017,TARIJA,SOCIEDAD COLECTIVA,1
2017,TARIJA,SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,8
2017,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2178
2017,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
