gestion,departamento,tipo,cantidad
2006,SANTA CRUZ,SOCIEDAD ANONIMA,748
2006,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,4
2006,SANTA CRUZ,SOCIEDAD COLECTIVA,10
2006,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,6569
2006,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,2
2006,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,129
2006,TARIJA,EMPRESA UNIPERSONAL,2586
2006,TARIJA,SOCIEDAD ANONIMA,41
2006,TARIJA,SOCIEDAD COLECTIVA,2
2006,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,833
2006,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2007,BENI,EMPRESA UNIPERSONAL,1475
2007,BENI,SOCIEDAD ANONIMA,23
2007,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,339
2007,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2007,CHUQUISACA,EMPRESA UNIPERSONAL,2542
2007,CHUQUISACA,SOCIEDAD ANONIMA,20
2007,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2007,CHUQUISACA,SOCIEDAD COLECTIVA,2
2007,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,530
2007,COCHABAMBA,EMPRESA UNIPERSONAL,11788
2007,COCHABAMBA,SOCIEDAD ANONIMA,237
2007,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,3
2007,COCHABAMBA,SOCIEDAD COLECTIVA,18
2007,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,3309
2007,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,2
2007,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,8
2007,LA PAZ,EMPRESA UNIPERSONAL,16821
2007,LA PAZ,SOCIEDAD ANONIMA,1184
2007,LA PAZ,SOCIEDAD ANONIMA MIXTA,3
2007,LA PAZ,SOCIEDAD COLECTIVA,38
2007,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,11200
2007,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2007,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,8
2007,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,234
2007,ORURO,EMPRESA UNIPERSONAL,2490
2007,ORURO,SOCIEDAD ANONIMA,37
2007,ORURO,SOCIEDAD COLECTIVA,3
2007,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1009
2007,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2007,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2007,PANDO,EMPRESA UNIPERSONAL,432
2007,PANDO,SOCIEDAD ANONIMA,2
2007,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,83
2007,POTOSI,EMPRESA UNIPERSONAL,1832
2007,POTOSI,SOCIEDAD ANONIMA,24
2007,POTOSI,SOCIEDAD ANONIMA MIXTA,2
2007,POTOSI,SOCIEDAD COLECTIVA,5
2007,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,755
2007,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2007,SANTA CRUZ,EMPRESA UNIPERSONAL,12496
2007,SANTA CRUZ,SOCIEDAD ANONIMA,763
2007,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,4
2007,SANTA CRUZ,SOCIEDAD COLECTIVA,10
2007,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,7109
2007,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,1
2007,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,133
2007,TARIJA,EMPRESA UNIPERSONAL,3150
2007,TARIJA,SOCIEDAD ANONIMA,37
2007,TARIJA,SOCIEDAD COLECTIVA,2
2007,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1020
2007,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2008,BENI,EMPRESA UNIPERSONAL,1857
2008,BENI,SOCIEDAD ANONIMA,25
2008,BENI,SOCIEDAD COLECTIVA,1
2008,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,367
2008,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2008,CHUQUISACA,EMPRESA UNIPERSONAL,2843
2008,CHUQUISACA,SOCIEDAD ANONIMA,23
2008,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2008,CHUQUISACA,SOCIEDAD COLECTIVA,2
2008,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,562
2008,COCHABAMBA,EMPRESA UNIPERSONAL,12835
2008,COCHABAMBA,SOCIEDAD ANONIMA,252
2008,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,4
2008,COCHABAMBA,SOCIEDAD COLECTIVA,18
2008,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,3629
2008,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,2
2008,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,8
2008,LA PAZ,EMPRESA UNIPERSONAL,18872
2008,LA PAZ,SOCIEDAD ANONIMA,1240
2008,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2008,LA PAZ,SOCIEDAD COLECTIVA,41
2008,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,11945
